year,OdName,CODE,number,AreaName,RegName,DevName
1980,Oman,OMN,20,Asia,Western Asia,Developing regions
1980,Pakistan,PAK,290,Asia,Southern Asia,Developing regions
1980,Palau,PLW,0,Oceania,Micronesia,Developing regions
1980,Panama,PAN,20,Latin America and the Caribbean,Central America,Developing regions
1980,Papua New Guinea,PNG,5610,Oceania,Melanesia,Developing regions
1980,Paraguay,PRY,0,Latin America and the Caribbean,South America,Developing regions
1980,Peru,PER,190,Latin America and the Caribbean,South America,Developing regions
1980,Philippines,PHL,3610,Asia,South-Eastern Asia,Developing regions
1980,Poland,POL,310,Europe,Eastern Europe,Developed regions
1980,Portugal,PRT,550,Europe,Southern Europe,Developed regions
1980,Puerto Rico,PRI,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Qatar,QAT,0,Asia,Western Asia,Developing regions
1980,Republic of Korea,KOR,390,Asia,Eastern Asia,Developing regions
1980,Republic of Moldova,MDA,0,Europe,Eastern Europe,Developed regions
1980,Réunion,REU,0,Africa,Eastern Africa,Developing regions
1980,Romania,ROU,180,Europe,Eastern Europe,Developed regions
1980,Russian Federation,RUS,0,Europe,Eastern Europe,Developed regions
1980,Rwanda,RWA,0,Africa,Eastern Africa,Developing regions
1980,Saint Helena,SHN,0,Africa,Western Africa,Developing regions
1980,Saint Kitts and Nevis,KNA,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Saint Lucia,LCA,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Saint Vincent and the Grenadines,VCT,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Samoa,WSM,150,Oceania,Polynesia,Developing regions
1980,Saudi Arabia,SAU,150,Asia,Western Asia,Developing regions
1980,Senegal,SEN,20,Africa,Western Africa,Developing regions
1980,Seychelles,SYC,50,Africa,Eastern Africa,Developing regions
1980,Sierra Leone,SLE,0,Africa,Western Africa,Developing regions
1980,Singapore,SGP,2850,Asia,South-Eastern Asia,Developing regions
1980,Slovakia,SVK,0,Europe,Eastern Europe,Developed regions
1980,Slovenia,SVN,0,Europe,Southern Europe,Developed regions
1980,Solomon Islands,SLB,210,Oceania,Melanesia,Developing regions
1980,Somalia,SOM,0,Africa,Eastern Africa,Developing regions
1980,South Africa,ZAF,3890,Africa,Southern Africa,Developing regions
1980,Spain,ESP,930,Europe,Southern Europe,Developed regions
1980,Sri Lanka,LKA,410,Asia,Southern Asia,Developing regions
1980,State of Palestine,WBG,0,Asia,Western Asia,Developing regions
1980,Sudan,SDN,20,Africa,Northern Africa,Developing regions
1980,Suriname,SUR,0,Latin America and the Caribbean,South America,Developing regions
1980,Swaziland,SWZ,30,Africa,Southern Africa,Developing regions
1980,Sweden,SWE,550,Europe,Northern Europe,Developed regions
1980,Switzerland,CHE,1000,Europe,Western Europe,Developed regions
1980,Syrian Arab Republic,SYR,120,Asia,Western Asia,Developing regions
1980,Tajikistan,TJK,0,Asia,Central Asia,Developing regions
1980,Thailand,THA,4730,Asia,South-Eastern Asia,Developing regions
1980,The former Yugoslav Republic of Macedonia,MKD,0,Europe,Southern Europe,Developed regions
1980,Timor-Leste,TLS,0,Asia,South-Eastern Asia,Developing regions
1980,Togo,TGO,0,Africa,Western Africa,Developing regions
1980,Tokelau,TKL,0,Oceania,Polynesia,Developing regions
1980,Tonga,TON,130,Oceania,Polynesia,Developing regions
1980,Trinidad and Tobago,TTO,20,Latin America and the Caribbean,Caribbean,Developing regions
1980,Tunisia,TUN,0,Africa,Northern Africa,Developing regions
1980,Turkey,TUR,1500,Asia,Western Asia,Developing regions
1980,Turkmenistan,TKM,0,Asia,Central Asia,Developing regions
1980,Turks and Caicos Islands,TCA ,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Tuvalu,TUV,10,Oceania,Polynesia,Developing regions
1980,Uganda,UGA,40,Africa,Eastern Africa,Developing regions
1980,Ukraine,UKR,0,Europe,Eastern Europe,Developed regions
1980,United Arab Emirates,ARE,40,Asia,Western Asia,Developing regions
1980,United Kingdom of Great Britain and Northern Ireland,GBR,43540,Europe,Northern Europe,Developed regions
1980,United Republic of Tanzania,TZA,70,Africa,Eastern Africa,Developing regions
1980,United States of America,USA,10470,Northern America,Northern America,Developed regions
1980,United States Virgin Islands,VGB,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Uruguay,URY,310,Latin America and the Caribbean,South America,Developing regions
1980,Uzbekistan,UZB,0,Asia,Central Asia,Developing regions
1980,Vanuatu,VUT,150,Oceania,Melanesia,Developing regions
1980,Venezuela (Bolivarian Republic of),VEN,90,Latin America and the Caribbean,South America,Developing regions
1980,Viet Nam,VNM,130,Asia,South-Eastern Asia,Developing regions
1980,Wallis and Futuna Islands,WLF,0,Oceania,Polynesia,Developing regions
1980,Western Sahara,ESH ,0,Africa,Northern Africa,Developing regions
1980,Yemen,YEM,10,Asia,Western Asia,Developing regions
1980,Zambia,ZMB,150,Africa,Eastern Africa,Developing regions
1980,Zimbabwe,ZWE,630,Africa,Eastern Africa,Developing regions
1981,Afghanistan,AFG,20,Asia,Southern Asia,Developing regions
1981,Albania,ALB,0,Europe,Southern Europe,Developed regions
1981,Algeria,DZA,50,Africa,Northern Africa,Developing regions
1981,American Samoa,ASM,0,Oceania,Polynesia,Developing regions
1981,Andorra,AND,0,Europe,Southern Europe,Developed regions
1981,Angola,AGO,0,Africa,Middle Africa,Developing regions
1981,Anguilla,AIA,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Antigua and Barbuda,ATG,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Argentina,ARG,640,Latin America and the Caribbean,South America,Developing regions
1981,Armenia,ARM,0,Asia,Western Asia,Developing regions
1981,Aruba,ABW,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Australia,AUS,180,Oceania,Australia and New Zealand,Developed regions
1981,Austria,AUT,3510,Europe,Western Europe,Developed regions
1981,Azerbaijan,AZE,0,Asia,Western Asia,Developing regions
1981,Bahamas,BHM,20,Latin America and the Caribbean,Caribbean,Developing regions
1981,Bahrain,BHR,100,Asia,Western Asia,Developing regions
1981,Bangladesh,BGD,180,Asia,Southern Asia,Developing regions
1981,Barbados,BRB,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Belarus,BLR,0,Europe,Eastern Europe,Developed regions
1981,Belgium,BEL,270,Europe,Western Europe,Developed regions
1981,Belize,BLZ,0,Latin America and the Caribbean,Central America,Developing regions
1981,Benin,BEN,0,Africa,Western Africa,Developing regions
1981,Bermuda,BMU,20,Northern America,Northern America,Developed regions
1981,Bhutan,BTN,0,Asia,Southern Asia,Developing regions
1981,Bolivia (Plurinational State of),BOL,30,Latin America and the Caribbean,South America,Developing regions
1981,Bosnia and Herzegovina,BIH,0,Europe,Southern Europe,Developed regions
1981,Botswana,BWA,40,Africa,Southern Africa,Developing regions
1981,Brazil,BRA,220,Latin America and the Caribbean,South America,Developing regions
1981,British Virgin Islands,VGB,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Brunei Darussalam,BRN,100,Asia,South-Eastern Asia,Developing regions
1981,Bulgaria,BGR,20,Europe,Eastern Europe,Developed regions
1981,Burkina Faso,BFA,0,Africa,Western Africa,Developing regions
1981,Burundi,BDI,0,Africa,Eastern Africa,Developing regions
1981,Cabo Verde,CPV,0,Africa,Western Africa,Developing regions
1981,Cambodia,KHM,0,Asia,South-Eastern Asia,Developing regions
1981,Cameroon,CMR,10,Africa,Middle Africa,Developing regions
1981,Canada,CAN,3770,Northern America,Northern America,Developed regions
